,port_code,port_city,port_state
608,NYL,No PORT Code (NYL),No PORT Code (NYL)
609,OAI,No PORT Code (OAI),No PORT Code (OAI)
610,PCW,No PORT Code (PCW),No PORT Code (PCW)
611,WA5,No PORT Code (WAS),No PORT Code (WAS)
612,WTR,No PORT Code (WTR),No PORT Code (WTR)
613,X96,No PORT Code (X96),No PORT Code (X96)
614,XNA,No PORT Code (XNA),No PORT Code (XNA)
615,YGF,No PORT Code (YGF),No PORT Code (YGF)
616,5T6,No PORT Code (5T6),No PORT Code (5T6)
617,060,No PORT Code (60),No PORT Code (60)
618,SP0,No PORT Code (SP0),No PORT Code (SP0)
619,W55,No PORT Code (W55),No PORT Code (W55)
620,X44,No PORT Code (X44),No PORT Code (X44)
621,AUH,No PORT Code (AUH),No PORT Code (AUH)
622,RYY,No PORT Code (RYY),No PORT Code (RYY)
623,SUS,No PORT Code (SUS),No PORT Code (SUS)
624,74S,No PORT Code (74S),No PORT Code (74S)
625,ATW,No PORT Code (ATW),No PORT Code (ATW)
626,CPX,No PORT Code (CPX),No PORT Code (CPX)
627,MTH,No PORT Code (MTH),No PORT Code (MTH)
628,PFN,No PORT Code (PFN),No PORT Code (PFN)
629,SCH,No PORT Code (SCH),No PORT Code (SCH)
630,ASI,No PORT Code (ASI),No PORT Code (ASI)
631,BKF,No PORT Code (BKF),No PORT Code (BKF)
632,DAY,No PORT Code (DAY),No PORT Code (DAY)
633,Y62,No PORT Code (Y62),No PORT Code (Y62)
634,AG,No PORT Code (AG),No PORT Code (AG)
635,BCM,No PORT Code (BCM),No PORT Code (BCM)
636,DEC,No PORT Code (DEC),No PORT Code (DEC)
637,PLB,No PORT Code (PLB),No PORT Code (PLB)
638,CXO,No PORT Code (CXO),No PORT Code (CXO)
639,JBQ,No PORT Code (JBQ),No PORT Code (JBQ)
640,JIG,No PORT Code (JIG),No PORT Code (JIG)
641,OGS,No PORT Code (OGS),No PORT Code (OGS)
642,TIW,No PORT Code (TIW),No PORT Code (TIW)
643,OTS,No PORT Code (OTS),No PORT Code (OTS)
644,AMT,No PORT Code (AMT),No PORT Code (AMT)
645,EGE,No PORT Code (EGE),No PORT Code (EGE)
646,GPI,No PORT Code (GPI),No PORT Code (GPI)
647,NGL,No PORT Code (NGL),No PORT Code (NGL)
648,OLM,No PORT Code (OLM),No PORT Code (OLM)
649,.GA,No PORT Code (.GA),No PORT Code (.GA)
650,CLX,No PORT Code (CLX),No PORT Code (CLX)
651,CP ,No PORT Code (CP),No PORT Code (CP)
652,FSC,No PORT Code (FSC),No PORT Code (FSC)
653,NK,No PORT Code (NK),No PORT Code (NK)
654,ADU,No PORT Code (ADU),No PORT Code (ADU)
655,AKT,No PORT Code (AKT),No PORT Code (AKT)
656,LIT,No PORT Code (LIT),No PORT Code (LIT)
657,A2A,No PORT Code (A2A),No PORT Code (A2A)
658,OSN,No PORT Code (OSN),No PORT Code (OSN)
